wl,n
0.3650,1.5362207900879
0.3715,1.5350933240623
0.3780,1.5340278385588
0.3845,1.5330199345617
0.3910,1.5320655465058
0.3975,1.531160923071
0.4039,1.530315476995
0.4104,1.5294996417737
0.4169,1.5287240386263
0.4234,1.5279859630561
0.4299,1.5272829239935
0.4364,1.526612626063
0.4429,1.5259729530935
0.4494,1.5253619528775
0.4559,1.5247778231547
0.4624,1.5242188987651
0.4688,1.5236917026959
0.4753,1.5231783523131
0.4818,1.522685941608
0.4883,1.5222132449161
0.4948,1.52175912463
0.5013,1.5213225238488
0.5078,1.5209024596964
0.5143,1.5204980172479
0.5208,1.5201083440066
0.5273,1.5197326448811
0.5337,1.5193756573494
0.5402,1.5190255404796
0.5467,1.5186873228298
0.5532,1.5183603964988
0.5597,1.518044191897
0.5662,1.5177381748601
0.5727,1.5174418440126
0.5792,1.5171547283547
0.5857,1.5168763850544
0.5921,1.5166104897892
0.5986,1.5163483457709
0.6051,1.5160938007294
0.6116,1.5158465055524
0.6181,1.5156061307265
0.6246,1.5153723650101
0.6311,1.5151449142102
0.6376,1.5149235000552
0.6441,1.5147078591535
0.6506,1.5144977420324
0.6570,1.5142960245684
0.6635,1.5140961816317
0.6700,1.5139011921946
0.6765,1.5137108540432
0.6830,1.5135249750558
0.6895,1.5133433725936
0.6960,1.5131658729344
0.7025,1.5129923107457
0.7090,1.5128225285945
0.7155,1.512656376491
0.7219,1.5124961882814
0.7284,1.5123368234256
0.7349,1.5121806811439
0.7414,1.5120276371466
0.7479,1.511877572728
0.7544,1.5117303744625
0.7609,1.5115859339206
0.7674,1.511444147403
0.7739,1.511304915691
0.7804,1.5111681438126
0.7868,1.5110357910604
0.7933,1.5109036353721
0.7998,1.5107736792082
0.8063,1.5106458424639
0.8128,1.5105200483093
0.8193,1.5103962230284
0.8258,1.5102742958664
0.8323,1.5101541988859
0.8388,1.5100358668322
0.8452,1.509921018722
0.8517,1.5098060060376
0.8582,1.5096925782401
0.8647,1.5095806795615
0.8712,1.5094702563455
0.8777,1.5093612569514
0.8842,1.5092536316624
0.8907,1.5091473325995
0.8972,1.5090423136396
0.9037,1.5089385303378
0.9101,1.5088375093436
0.9166,1.5087360529623
0.9231,1.5086357088591
0.9296,1.5085364385819
0.9361,1.5084382050258
0.9426,1.5083409723759
0.9491,1.5082447060532
0.9556,1.5081493726639
0.9621,1.5080549399498
0.9686,1.5079613767424
0.9750,1.5078700732281
0.9815,1.5077781474164
0.9880,1.5076870041359
0.9945,1.5075966161393
1.001,1.5075069570682
1.007,1.5074248197533
1.014,1.5073297245037
