wl,n
0.3020,1.552087058222
0.3222,1.5458422581222
0.3425,1.5408047872471
0.3627,1.5367091274707
0.3829,1.5333100788399
0.4032,1.5304391434471
0.4234,1.5280104101489
0.4436,1.5259235877665
0.4638,1.5241140684078
0.4841,1.5225245824328
0.5043,1.5211315167199
0.5245,1.5198954986173
0.5448,1.5187864698239
0.5650,1.5177951124815
0.5852,1.5168991729958
0.6055,1.5160812111114
0.6257,1.5153379459018
0.6459,1.5146557080737
0.6661,1.5140265385925
0.6864,1.5134409119588
0.7066,1.5128988273545
0.7268,1.5123923687895
0.7471,1.5119150189054
0.7673,1.5114678019116
0.7875,1.5110451106492
0.8078,1.5106422355448
0.8280,1.5102607072307
0.8482,1.5098963560861
0.8684,1.509547301028
0.8887,1.5092102488451
0.9089,1.5088870378697
0.9291,1.5085746617485
0.9494,1.5082704717079
0.9696,1.5079764113292
0.9898,1.507690018089
1.010,1.5074104454535
1.030,1.5071396107742
1.051,1.5068608927811
1.071,1.5066002045795
1.091,1.5063435987394
1.111,1.5060905751317
1.131,1.5058406774689
1.152,1.505581193339
1.172,1.5053364383195
1.192,1.5050936429935
1.212,1.5048524866127
1.233,1.5046007134961
1.253,1.5043620187326
1.273,1.5041241314535
1.293,1.5038868196745
1.314,1.5036380266153
1.334,1.5034012391892
1.354,1.5031644180236
1.374,1.5029273908513
1.394,1.5026899969871
1.415,1.502440174666
1.435,1.5022015703797
1.455,1.5019621709135
1.475,1.5017218531844
1.496,1.501468404816
1.516,1.5012258504673
1.536,1.5009820457311
1.556,1.5007368940284
1.576,1.5004903040582
1.597,1.5002297421395
1.617,1.4999799384062
1.637,1.4997284464268
1.657,1.4994751924038
1.678,1.4992073024306
1.698,1.4989502200793
1.718,1.4986911712603
1.738,1.4984300948931
1.759,1.4981537185748
1.779,1.4978883054354
1.799,1.4976206935689
1.819,1.4973508312125
1.839,1.4970786684962
1.860,1.4967903692586
1.880,1.496513342168
1.900,1.4962338729307
1.920,1.4959519180391
1.941,1.4956531440438
1.961,1.4953659628997
1.981,1.4950761710012
2.001,1.4947837295235
2.022,1.4944737729316
2.042,1.4941757823678
2.062,1.4938750293765
2.082,1.4935714785569
2.102,1.4932650951963
2.123,1.4929403068649
2.143,1.4926280108929
2.163,1.4923127802083
2.183,1.4919945823622
2.204,1.4916572462039
2.224,1.491332866068
2.244,1.4910054223848
2.264,1.490674884271
2.285,1.490324455407
2.305,1.4899874783795
2.325,1.4896473144292
