wl,n
0.3650,1.5363033517799
0.3819,1.5334766770475
0.3989,1.5310190634808
0.4158,1.5288901516265
0.4327,1.5270205789977
0.4497,1.5253584994507
0.4666,1.5238891707492
0.4835,1.5225746141137
0.5005,1.5213856439764
0.5174,1.5203175920496
0.5343,1.5193476857578
0.5513,1.51845803374
0.5682,1.5176482017236
0.5851,1.5169035299813
0.6020,1.516216190647
0.6190,1.5155758488133
0.6359,1.5149842380799
0.6528,1.5144324581776
0.6698,1.5139132168767
0.6867,1.5134288239602
0.7036,1.5129728149451
0.7206,1.5125398043908
0.7375,1.5121323096836
0.7544,1.5117454430038
0.7714,1.5113750640124
0.7883,1.5110237298497
0.8052,1.5106876100075
0.8221,1.5103652735974
0.8391,1.5100536380943
0.8560,1.5097552094296
0.8729,1.5094670779143
0.8899,1.5091866796001
0.9068,1.5089164576113
0.9237,1.5086539632926
0.9407,1.5083970022195
0.9576,1.508147954602
0.9745,1.5079047050948
0.9915,1.5076653264939
1.008,1.5074376113853
1.025,1.5072073133183
1.042,1.5069809816288
1.059,1.5067582300239
1.076,1.5065387026192
1.093,1.506322071055
1.110,1.5061080319264
1.127,1.5058963044893
1.144,1.5056866286088
1.161,1.5054787629207
1.178,1.5052724831815
1.195,1.5050675807851
1.212,1.5048638614262
1.228,1.504673043809
1.245,1.5044711144101
1.262,1.5042698684762
1.279,1.5040691573868
1.296,1.503868841888
1.313,1.503668791353
1.330,1.5034688831091
1.347,1.5032690018252
1.364,1.5030690389529
1.381,1.5028688922161
1.398,1.5026684651447
1.415,1.5024676666476
1.432,1.5022664106217
1.449,1.5020646155929
1.466,1.5018622043865
1.482,1.5016710712603
1.499,1.5014672583794
1.516,1.501262624476
1.533,1.501057106593
1.550,1.5008506447919
1.567,1.5006431819504
1.584,1.5004346635749
1.601,1.500225037627
1.618,1.500014254363
1.635,1.4998022661853
1.652,1.499589027504
1.669,1.4993744946088
1.686,1.49915862555
1.703,1.4989413800277
1.719,1.4987356215356
1.736,1.4985155947276
1.753,1.4982940815373
1.770,1.4980710472282
1.787,1.4978464582683
1.804,1.4976202822568
1.821,1.4973924878562
1.838,1.4971630447278
1.855,1.4969319234728
1.872,1.4966990955757
1.889,1.4964645333522
1.906,1.4962282098999
1.923,1.4959900990524
1.940,1.4957501753356
1.957,1.4955084139275
1.973,1.4952791733688
1.990,1.4950337760884
2.007,1.4947864715344
2.024,1.4945372371028
2.041,1.4942860506734
2.058,1.4940328905813
