wl,n
0.3000,1.6187469191298
0.3220,1.6096538028902
0.3440,1.6025732864787
0.3660,1.5969283581689
0.3880,1.5923405493564
0.4100,1.5885513680767
0.4320,1.5853784182613
0.4540,1.5826894902515
0.4760,1.580386557917
0.4980,1.5783955192257
0.5200,1.5766594090619
0.5420,1.5751337868179
0.5640,1.573783528052
0.5860,1.5725805467932
0.6080,1.5715021490945
0.6300,1.5705298235834
0.6520,1.5696483400919
0.6740,1.5688450690601
0.6960,1.5681094615027
0.7180,1.5674326473309
0.7400,1.5668071219904
0.7620,1.5662264997478
0.7840,1.5656853177994
0.8060,1.5651788795035
0.8280,1.564703128004
0.8500,1.5642545436545
0.8720,1.563830060228
0.8940,1.5634269960605
0.9160,1.5630429971475
0.9380,1.5626759898686
0.9600,1.5623241415142
0.9820,1.5619858271701
1.004,1.5616596018116
1.026,1.5613441766873
1.048,1.5610383992521
1.070,1.5607412360511
1.092,1.5604517580663
1.114,1.5601691281277
1.136,1.5598925900633
1.158,1.5596214593156
1.180,1.5593551148047
1.202,1.5590929918482
1.224,1.5588345759864
1.246,1.5585793975812
1.268,1.5583270270793
1.290,1.5580770708482
1.312,1.5578291675069
1.334,1.5575829846849
1.356,1.5573382161534
1.378,1.5570945792798
1.400,1.5568518127657
1.422,1.5566096746312
1.444,1.5563679404167
1.466,1.5561264015744
1.488,1.5558848640282
1.510,1.5556431468811
1.532,1.5554010812528
1.554,1.5551585092342
1.576,1.5549152829439
1.598,1.5546712636761
1.620,1.5544263211298
1.642,1.5541803327106
1.664,1.5539331828974
1.686,1.5536847626668
1.708,1.5534349689695
1.730,1.5531837042536
1.752,1.5529308760291
1.774,1.5526763964711
1.796,1.552420182056
1.818,1.5521621532293
1.840,1.5519022341001
1.862,1.5516403521615
1.884,1.5513764380334
1.906,1.5511104252261
1.928,1.5508422499219
1.950,1.5505718507747
1.972,1.5502991687245
1.994,1.5500241468259
2.016,1.5497467300899
2.038,1.5494668653372
2.060,1.5491845010618
2.082,1.5488995873053
2.104,1.5486120755394
2.126,1.5483219185569
2.148,1.5480290703707
2.170,1.5477334861185
2.192,1.5474351219753
2.214,1.5471339350707
2.236,1.5468298834122
2.258,1.5465229258131
2.280,1.5462130218249
2.302,1.5459001316745
2.324,1.5455842162045
2.346,1.5452652368173
2.368,1.5449431554233
2.390,1.5446179343906
2.412,1.5442895364992
2.434,1.5439579248966
2.456,1.5436230630564
2.478,1.5432849147389
2.500,1.5429434439539
