wl,n
0.2900,1.5558561870629
0.3111,1.548495020957
0.3322,1.5426830976732
0.3533,1.5380029355441
0.3744,1.5341703781296
0.3955,1.530986071967
0.4166,1.5283065225149
0.4377,1.5260261389031
0.4588,1.5240657173123
0.4799,1.5223648380199
0.5010,1.520876718153
0.5221,1.5195646487661
0.5432,1.5183994794683
0.5643,1.5173578109887
0.5854,1.516420675631
0.6065,1.5155725599572
0.6276,1.5148006714031
0.6487,1.514094381315
0.6698,1.5134447972978
0.6909,1.5128444315128
0.7120,1.5122869409802
0.7331,1.5117669224866
0.7542,1.5112797493036
0.7753,1.5108214402145
0.7964,1.5103885537153
0.8175,1.5099781019869
0.8386,1.5095874805111
0.8597,1.5092144101495
0.8808,1.5088568892172
0.9019,1.5085131536204
0.9230,1.5081816435401
0.9441,1.5078609754556
0.9652,1.5075499185503
0.9863,1.5072473747293
1.007,1.5069578898228
1.029,1.5066572388624
1.050,1.5063761881044
1.071,1.5061002189976
1.092,1.5058286964679
1.113,1.5055610451467
1.134,1.5052967426338
1.155,1.5050353136295
1.176,1.5047763248114
1.197,1.5045193803493
1.218,1.5042641179675
1.240,1.5039981427831
1.261,1.5037453176044
1.282,1.5034932435483
1.303,1.5032416627313
1.324,1.5029903369927
1.345,1.5027390460156
1.366,1.5024875856521
1.387,1.502235766427
1.408,1.5019834121998
1.429,1.5017303589643
1.451,1.5014643393272
1.472,1.5012093885424
1.493,1.5009533031483
1.514,1.5006959583112
1.535,1.5004372368817
1.556,1.5001770287537
1.577,1.4999152302828
1.598,1.499651743759
1.619,1.4993864769274
1.640,1.4991193425519
1.662,1.4988373944739
1.683,1.49856618294
1.704,1.4982928650069
1.725,1.4980173700321
1.746,1.4977396307058
1.767,1.497459582797
1.788,1.4971771649208
1.809,1.4968923183239
1.830,1.4966049866882
1.851,1.4963151159486
1.873,1.4960086618835
1.894,1.4957134319464
1.915,1.4954155103657
1.936,1.4951148506159
1.957,1.4948114077005
1.978,1.4945051380391
1.999,1.4941959993627
2.020,1.4938839506165
2.041,1.4935689518694
2.062,1.4932509642296
2.084,1.4929145872305
2.105,1.4925903620936
2.126,1.4922630351626
2.147,1.4919325710053
2.168,1.4915989348833
2.189,1.4912620926963
2.210,1.4909220109301
2.231,1.4905786566076
2.252,1.4902319972432
2.273,1.4898820007996
2.295,1.4895117241749
2.316,1.4891547963765
2.337,1.4887944362181
2.358,1.4884306130865
2.379,1.4880632966346
2.400,1.4876924567517
